NrId,DistrictId,Property_Name,Other_Name,CountyId,AtlasIndex,Keywords,Longitude,Latitude,County,Address,City,Date_Listed,Reference_Number,Multiple_Property_Name,Date_To_SBR,Vicinity,Status,StatusL,Date_Removed,Notes,Date_To_Nps,Date_Notified,Local_Sig,State_Sig,National_Sig,Atlas_Number,Significance,Criteria,Style,Period,Resource_type,ResourceL,Architect,District,MpsId,NpsId,HasFiles,HasImages,HasMapLocation
1,,Anderson County Courthouse,,1,2000000000000001,,,,Anderson,1 Public Square,Palestine,09/28/1992 00:00:00,92001256,,07/27/1991 00:00:00,False,1,Listed,,,08/12/1992 00:00:00,,False,True,False,2092001256,Architecture,C (design/architecture),Classical Revival,1900-1924,B,"Building  ",Page Bros.,,,,True,True,False
2,75,"Anderson County Jail ",,1,2000000000000002,,,,Anderson,704 Avenue A,Palestine,06/11/1998 00:00:00,98000692,Historic and Architectural Resources of Palestine,09/23/1994 00:00:00,False,1,Listed,,,05/05/1998 00:00:00,,True,False,False,2098000692,Architecture,C (design/architecture),Art Deco,1925-1949,B,"Building  ","Maffitt, Theo S.; Campbell & White",Historic and Architectural Resources of Palestine,75,64500649,True,False,True
3,,William and Caroline Broyles House,,1,2000000000000003,,,,Anderson,1305 S. Sycamore St.,Palestine,11/10/1988 00:00:00,88002614,,05/21/1988 00:00:00,False,1,Listed,,,10/10/1988 00:00:00,,True,False,False,2088002614,Architecture,C (design/architecture),"Second Empire, Stick/Eastlake, Italianate",1875-1899,B,"Building  ","McKlemurry,Luther",,,,True,True,True
4,75,"Denby Building ",,1,2000000000000004,,,,Anderson,201 West Crawford Street,Palestine,06/11/1998 00:00:00,98000694,Historic and Architectural Resources of Palestine,09/23/1994 00:00:00,False,1,Listed,,,05/05/1998 00:00:00,,True,False,False,2098000694,Architecture,C (design/architecture),Other,1925-1949,B,"Building  ","Maffitt, Theodore S.",Historic and Architectural Resources of Palestine,75,64500649,True,False,True
5,75,"G. E. Dilley Building ",,1,2000000000000005,,,,Anderson,503 W. Main Street,Palestine,06/11/1998 00:00:00,98000698,Historic and Architectural Resources of Palestine,09/23/1994 00:00:00,False,1,Listed,,,05/05/1998 00:00:00,,True,False,False,2098000698,Architecture,C (design/architecture),Italianate,1875-1899,B,"Building  ","Clayton, Nicholas J.",Historic and Architectural Resources of Palestine,75,64500649,True,False,True
6,75,"First Presbyterian Church ",,1,2000000000000006,,,,Anderson,406 Avenue A,Palestine,06/11/1998 00:00:00,98000695,Historic and Architectural Resources of Palestine,09/23/1994 00:00:00,False,1,Listed,,,05/05/1998 00:00:00,,True,False,False,2098000695,Architecture,C (design/architecture),Gothic Revival,"1875-1899, 1900-1924",B,"Building  ",Dodson & Dudley; et.al.,Historic and Architectural Resources of Palestine,75,64500649,True,False,True
7,75,"Gatewood-Shelton Gin ",,1,2000000000000007,,,,Anderson,304 East Crawford,Palestine,06/03/1998 00:00:00,98000637,Historic and Architectural Resources of Palestine,09/23/1994 00:00:00,False,1,Listed,,,04/30/1998 00:00:00,,True,False,False,2098000637,Industry,A (historic events),None Listed,1925-1949,B,"Building  ",Murray Co.,Historic and Architectural Resources of Palestine,75,64500649,True,True,True
8,,Howard House,,1,2000000000000008,,,,Anderson,1011 North Perry Street,Palestine,03/14/1993 00:00:00,93000072,,03/28/1992 00:00:00,False,1,Listed,,,01/26/1993 00:00:00,,False,True,False,2093000072,Architecture,C (design/architecture),Greek Revival,"1900-1924, 1875-1899, 1850-1874, 1825-1849",B,"Building  ","Bunda, James",,,,True,True,True
9,75,"Lincoln High School ",,1,2000000000000009,,,,Anderson,920 West Swantz Street,Palestine,06/03/1998 00:00:00,98000636,Historic and Architectural Resources of Palestine,09/23/1994 00:00:00,False,1,Listed,,,04/30/1998 00:00:00,,True,False,False,2098000636,"Ethnic Heritage - Black, Architecture","A (historic events), C (design/architecture)",Classical Revival,"1900-1924, 1925-1949",B,"Building  ","Rountree & Skelton; Maffitt, Theo S.",Historic and Architectural Resources of Palestine,75,64500649,True,True,True
10,,Link House,,1,2000000000000010,,,,Anderson,925 N. Link St.,Palestine,05/29/1980 00:00:00,80004073,,10/23/1979 00:00:00,False,1,Listed,,,03/24/1980 00:00:00,,True,False,False,2080004073,Architecture,C (design/architecture),Queen Anne,1875-1899,B,"Building  ","Miller,Theo.",,,,True,True,True
11,75,"Mount Vernon African Methodist Episcopal Church ",,1,2000000000000011,,,,Anderson,913 E. Calhoun St.,Palestine,06/03/1998 00:00:00,98000635,Historic and Architectural Resources of Palestine,09/23/1994 00:00:00,False,1,Listed,,,04/30/1998 00:00:00,,True,False,False,2098000635,"Ethnic Heritage - Black, Architecture","A (historic events), C (design/architecture)",Late Gothic Revival,"1900-1924, 1925-1949",B,"Building  ","Rountree, J.B.",Historic and Architectural Resources of Palestine,75,64500649,True,True,True
12,75,"North Side Historic District ",,1,2000000000000012,,,,Anderson,"Roughly bounded by Kolsted, N. Perry, W. Green, and N. Conrad Sts.",Palestine,07/01/1998 00:00:00,98000825,Historic and Architectural Resources of Palestine,09/23/1994 00:00:00,False,1,Listed,,To SBR on 02/05/1994 - postponed,05/28/1998 00:00:00,,True,False,False,2098000825,"Architecture, Community Planning and Develpment","A (historic events), C (design/architecture)","Queen Anne, Bungalow/Craftsman","1825-1849, 1850-1874, 1875-1899, 1900-1924, 1925-1949",D,"District  ","Brook, James F.; Miller, Theo",Historic and Architectural Resources of Palestine,75,64500649,True,False,False
13,,Pace McDonald Site,41AN51,1,2000000000000013,,,,Anderson,Address Restricted,Palestine,08/12/1982 00:00:00,82004488,,07/25/1980 00:00:00,False,1,Listed,,,07/05/1982 00:00:00,,False,True,False,2082004488,"Archeology - Prehistoric, Archeology - Historic-Aboriginal, Exploration/Settlement","A (historic events), D (information potential/archeology",None Listed,,S,"Site      ",,,,,True,True,False
14,,Palestine Carnegie Library,,1,2000000000000014,,,,Anderson,502 N. Queen St.,Palestine,10/17/1988 00:00:00,88001944,,10/03/1987 00:00:00,False,1,Listed,,,09/12/1988 00:00:00,,True,False,False,2088001944,Architecture,C (design/architecture),Prairie School,1900-1924,B,"Building  ","Rountree,J.F.; McKim,C.C.",,,,True,True,True
15,,Palestine High School,,1,2000000000000015,,,,Anderson,400 Micheaux Ave.,Palestine,09/24/1986 00:00:00,86002295,,07/12/1986 00:00:00,False,1,Listed,,,08/06/1986 00:00:00,,True,False,False,2086002295,"Education, Architecture","A (historic events), C (design/architecture)","Tudor Revival, Other",1900-1924,B,"Building  ","Flynt,A.W.; Sanguinet & Staats",,,,True,True,False
16,75,"Post Office-Palestine ",,1,2000000000000016,,,,Anderson,101 E. Oak St.,Palestine,06/11/1998 00:00:00,98000693,Historic and Architectural Resources of Palestine,09/23/1994 00:00:00,False,1,Listed,,Additional documentation approved on 2/22/02,05/05/1998 00:00:00,,True,False,False,2098000693,Architecture,C (design/architecture),Beaux Arts,1900-1924,B,"Building  ","Taylor, James Knox",Historic and Architectural Resources of Palestine,75,64500649,True,True,True
17,75,"Reagan, John H., Monument ",,1,2000000000000017,,,,Anderson,Reagan Park;vicinity of Park and Crockett Sts.,Palestine,06/03/1998 00:00:00,98000633,Historic and Architectural Resources of Palestine,02/25/1995 00:00:00,False,1,Listed,,,04/30/1998 00:00:00,,True,False,False,2098000633,Art,C (design/architecture),Other,1900-1924,O,"Object    ","Coppini, Pompeo",Historic and Architectural Resources of Palestine,75,64500649,True,True,True
18,75,"Redlands Hotel ",,1,2000000000000018,,,,Anderson,400 N. Queen St,Palestine,06/03/1998 00:00:00,98000634,Historic and Architectural Resources of Palestine,09/23/1994 00:00:00,False,1,Listed,,,04/30/1998 00:00:00,,True,False,False,2098000634,"Commerce, Architecture","A (historic events), C (design/architecture)","Other, Classical Revival","1900-1924, 1925-1949",B,"Building  ","Brooks, J.F.; Phelps, Henry T.",Historic and Architectural Resources of Palestine,75,64500649,True,True,True
19,75,"Robinson Bank Building ",,1,2000000000000019,,,,Anderson,213 W. Main St.,Palestine,06/11/1998 00:00:00,98000691,Historic and Architectural Resources of Palestine,09/23/1994 00:00:00,False,1,Listed,,,05/05/1998 00:00:00,,True,False,False,2098000691,"Commerce, Architecture","C (design/architecture), A (historic events)",Romanesque,1875-1899,B,"Building  ",,Historic and Architectural Resources of Palestine,75,64500649,True,False,True
21,,"Saunders, A. C., Site",41AN19,1,2000000000000021,,,,Anderson,Address Restricted,Frankston,07/15/1982 00:00:00,82004487,,05/02/1981 00:00:00,False,1,Listed,,,06/09/1982 00:00:00,,False,True,False,2082004487,Archeology - Prehistoric,D (information potential/archeology,None Listed,,S,"Site      ",,,,,True,True,False
22,75,"South Side Historic District ",,1,2000000000000022,,,,Anderson,"Roughly bounded by W. Colorado, and S. Michaux Sts., and Union Pacific Railroad Tracks",Palestine,07/01/1998 00:00:00,98000826,Historic and Architectural Resources of Palestine,09/23/1994 00:00:00,False,1,Listed,,,05/28/1998 00:00:00,,True,False,False,2098000826,"Architecture, Community Planning and Develpment","A (historic events), C (design/architecture)","Queen Anne, Bungalow/Craftsman, Tudor Revival","1850-1874, 1875-1899, 1900-1924, 1925-1949",D,"District  ","Maffitt, Theodore S.",Historic and Architectural Resources of Palestine,75,64500649,True,False,False
23,,Andrews Lake Sites,"41AD2, 41AD3, 41AD4, 41AD8, 41AD9",2,2000000000000023,,,,Andrews,Address Restricted,Andrews,11/22/1978 00:00:00,78002886,,01/25/1977 00:00:00,False,1,Listed,,"Additional documentation submitted to NPS 12/6/84, approved 2/5/85",03/15/1977 00:00:00,,True,False,False,2078002886,Archeology - Prehistoric,D (information potential/archeology,None Listed,,D,"District  ",,,,,True,False,False
24,46,"Abercrombie-Cavanaugh House ",,3,2000000000000024,,,,Angelina,304 Paul,Lufkin,12/22/1988 00:00:00,88002794,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1998 00:00:00,,True,False,False,2088002794,Architecture,C (design/architecture),Queen Anne,1900-1924,B,"Building  ","Abercrombie,Richard",Historic Resources of Angelina County,46,64000827,True,False,True
25,46,"Angelina River Bridge ",,3,2000000000000025,,,,Angelina,US 59 over Angelina River,Lufkin,12/22/1988 00:00:00,88002801,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002801,"Engineering, Transportation","A (historic events), C (design/architecture)",Other,1925-1949,U,"Structure ","Wickline,G.G.",Historic Resources of Angelina County,46,64000827,True,True,True
26,46,"Banks-Ogg House ",,3,2000000000000026,,,,Angelina,"602 Groesbeck St., East",Lufkin,12/22/1988 00:00:00,88002771,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002771,Architecture,C (design/architecture),Queen Anne,1900-1924,B,"Building  ",Unknown,Historic Resources of Angelina County,46,64000827,True,True,True
27,46,"Behannon-Kenley House ",,3,2000000000000027,,,,Angelina,317 Shephard,Lufkin,12/22/1988 00:00:00,88002798,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002798,Architecture,C (design/architecture),Bungalow/Craftsman,1925-1949,B,"Building  ",Unknown,Historic Resources of Angelina County,46,64000827,True,True,True
28,46,"Binion-Casper House ",,3,2000000000000028,,,,Angelina,404 Mantooth,Lufkin,07/19/1989 00:00:00,88002785,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,05/31/1989 00:00:00,,True,False,False,2088002785,Architecture,C (design/architecture),Late 19th and 20th Century Revivals,1900-1924,B,"Building  ",Unknown,Historic Resources of Angelina County,46,64000827,True,False,True
29,46,"Bowers-Felts House ",,3,2000000000000029,,,,Angelina,1213 Lotus Ln.,Lufkin,12/22/1988 00:00:00,88002780,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002780,Architecture,C (design/architecture),Tudor Revival,1925-1949,B,"Building  ","Simons,Shirley",Historic Resources of Angelina County,46,64000827,True,True,True
30,46,"Boynton-Kent House ",,3,2000000000000030,,,,Angelina,"107 Kerr St., West",Lufkin,12/22/1988 00:00:00,88002779,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002779,Architecture,C (design/architecture),"Late 19th and 20th Century Revivals, Other",1925-1949,B,"Building  ","Bulgar,Clarence C.",Historic Resources of Angelina County,46,64000827,True,True,True
31,46,"Brookshire, Houston-Yeates House ",,3,2000000000000031,,,,Angelina,"304 Howe St., East",Lufkin,12/22/1988 00:00:00,88002776,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002776,Architecture,C (design/architecture),Tudor Revival,1900-1924,B,"Building  ","Simons,Shirley",Historic Resources of Angelina County,46,64000827,True,True,True
32,46,"Byus-Kirkland House ",,3,2000000000000032,,,,Angelina,411 Mantooth,Lufkin,12/22/1988 00:00:00,88002786,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002786,Architecture,C (design/architecture),Bungalow/Craftsman,1900-1924,B,"Building  ","Berry,W.P., & Co.",Historic Resources of Angelina County,46,64000827,True,True,True
33,46,"Clark-Whitton House ",,3,2000000000000033,,,,Angelina,1865 Old Mill Rd.,Lufkin,12/22/1988 00:00:00,88002792,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002792,Architecture,C (design/architecture),"Late Victorian, Other",1900-1924,B,"Building  ",Unknown,Historic Resources of Angelina County,46,64000827,True,True,True
34,46,"Corstone Sales Company ",,3,2000000000000034,,,,Angelina,"109-111 Shepherd St., East",Lufkin,12/22/1988 00:00:00,88002797,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002797,Architecture,C (design/architecture),Moderne,1925-1949,B,"Building  ",Unknown,Historic Resources of Angelina County,46,64000827,True,True,True
35,46,"Dunham Hill ",,3,2000000000000035,,,,Angelina,US 69,Huntington,12/22/1988 00:00:00,88002803,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002803,Architecture,C (design/architecture),Other,1900-1924,B,"Building  ","Dunham,F.L.",Historic Resources of Angelina County,46,64000827,True,True,False
36,46,"Everitt-Cox House ",,3,2000000000000036,,,,Angelina,418 Moore,Lufkin,12/22/1988 00:00:00,88002789,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002789,Architecture,C (design/architecture),"Classical Revival, Late Victorian","1900-1924, 1875-1899",B,"Building  ","Simons,Shirley",Historic Resources of Angelina County,46,64000827,True,True,True
37,46,"Fenley Commercial Building ",,3,2000000000000037,,,,Angelina,"112 Lufkin Ave., East",Lufkin,12/22/1988 00:00:00,88002781,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002781,Architecture,C (design/architecture),Other,1900-1924,B,"Building  ",Unknown,Historic Resources of Angelina County,46,64000827,True,True,True
38,46,"Henderson, S. W.-Bridges House ",,3,2000000000000038,,,,Angelina,202 Henderson,Lufkin,12/22/1988 00:00:00,88002775,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002775,Architecture,C (design/architecture),Classical Revival,"1900-1924, 1875-1899, 1925-1949",B,"Building  ",Unknown,Historic Resources of Angelina County,46,64000827,True,True,True
39,46,"Humason-Pinkerton House ",,3,2000000000000039,,,,Angelina,602 Grove,Lufkin,12/22/1988 00:00:00,88002773,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002773,Architecture,C (design/architecture),Late Victorian,1900-1924,B,"Building  ","Berry,W.P.; McMullen,W.R.",Historic Resources of Angelina County,46,64000827,True,False,True
40,46,"Keltys Worker Housing ",,3,2000000000000040,,,,Angelina,109 Maas,Lufkin,12/22/1988 00:00:00,88002784,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002784,Architecture,C (design/architecture),None Listed,"1900-1924, 1875-1899",B,"Building  ",Unknown,Historic Resources of Angelina County,46,64000827,True,False,True
41,46,"Kennedy, A. C.-Runnells House ",,3,2000000000000041,,,,Angelina,"603 Groesbeck St., East",Lufkin,12/22/1988 00:00:00,88002772,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002772,Architecture,C (design/architecture),Bungalow/Craftsman,1900-1924,B,"Building  ",Unknown,Historic Resources of Angelina County,46,64000827,True,True,True
42,46,"Kennedy, R. A.-J. M. Lowrey House ",,3,2000000000000042,,,,Angelina,"519 Groesbeck St., East",Lufkin,12/22/1988 00:00:00,88002770,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002770,Architecture,C (design/architecture),Bungalow/Craftsman,1900-1924,B,"Building  ",Unknown,Historic Resources of Angelina County,46,64000827,True,True,True
43,46,"Kurth, J. H., House ",,3,2000000000000043,,,,Angelina,1860 Old Mill Rd.,Lufkin,12/22/1988 00:00:00,88002791,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002791,Architecture,C (design/architecture),Classical Revival,1875-1899,B,"Building  ",Unknown,Historic Resources of Angelina County,46,64000827,True,True,True
44,46,"Kurth-Glover House ",,3,2000000000000044,,,,Angelina,1847 Old Mill Rd.,Lufkin,12/22/1988 00:00:00,88002790,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002790,Architecture,C (design/architecture),Queen Anne,"1900-1924, 1875-1899",B,"Building  ",Unknown,Historic Resources of Angelina County,46,64000827,True,True,True
45,46,"Lawrence, G. E., House ",,3,2000000000000045,,,,Angelina,"2005 Chestnut St., South",Lufkin,12/22/1988 00:00:00,88002766,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002766,Architecture,C (design/architecture),Bungalow/Craftsman,1925-1949,B,"Building  ","Lawrence,G.E.",Historic Resources of Angelina County,46,64000827,True,True,True
46,46,"Lufkin Land-Long Bell-Buck House ",,3,2000000000000046,,,,Angelina,1218 Lufkin St.,Lufkin,12/22/1988 00:00:00,88002783,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002783,Architecture,C (design/architecture),Bungalow/Craftsman,1900-1924,B,"Building  ",Lufkin Land & Lumber Co.,Historic Resources of Angelina County,46,64000827,True,True,True
47,46,"Marsh-Smith House ",,3,2000000000000047,,,,Angelina,"503 Raguet St., North",Lufkin,12/22/1988 00:00:00,88002796,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002796,Architecture,C (design/architecture),Bungalow/Craftsman,"1900-1924, 1925-1949",B,"Building  ",Unknown,Historic Resources of Angelina County,46,64000827,True,False,True
48,46,"McClendon-Abney Hardware Company ",,3,2000000000000048,,,,Angelina,"119 Lufkin Ave., East",Lufkin,12/22/1988 00:00:00,88002782,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002782,Architecture,C (design/architecture),Other,1900-1924,B,"Building  ","Bellew,D.A.",Historic Resources of Angelina County,46,64000827,True,True,True
49,46,"McGilbert House ",,3,2000000000000049,,,,Angelina,1902 Old Mill Rd.,Lufkin,12/22/1988 00:00:00,88002793,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002793,Architecture,C (design/architecture),Other,1875-1899,B,"Building  ",Unknown,Historic Resources of Angelina County,46,64000827,True,False,True
50,46,"Newsom-Moss House ",,3,2000000000000050,,,,Angelina,420 Mantooth,Lufkin,12/22/1988 00:00:00,88002787,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002787,Architecture,C (design/architecture),"Late 19th and 20th Century Revivals, Other","1900-1924, 1925-1949",B,"Building  ",Unknown,Historic Resources of Angelina County,46,64000827,True,True,True
51,46,"Old Federal Building-Federal Courthouse ",,3,2000000000000051,,,,Angelina,"104 Third St., North",Lufkin,12/22/1988 00:00:00,88002799,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002799,Architecture,C (design/architecture),Classical Revival,1925-1949,B,"Building  ","Simon,Louis A.",Historic Resources of Angelina County,46,64000827,True,False,True
52,46,"Parker-Bradshaw House ",,3,2000000000000052,,,,Angelina,"213 Raguet St., North",Lufkin,12/22/1988 00:00:00,88002795,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002795,Architecture,C (design/architecture),Bungalow/Craftsman,1900-1924,B,"Building  ","Baker,I.W.",Historic Resources of Angelina County,46,64000827,True,True,True
53,46,"Percy, Dr. Edward-Abney House ",,3,2000000000000053,,,,Angelina,466 Jefferson,Lufkin,12/22/1988 00:00:00,88002778,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002778,Architecture,C (design/architecture),Other,1900-1924,B,"Building  ",Unknown,Historic Resources of Angelina County,46,64000827,True,True,True
54,46,"Perry, A. F. and Myrtle-Pitmann House ",,3,2000000000000054,,,,Angelina,"402 Bynum St., South",Lufkin,12/22/1988 00:00:00,88002765,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002765,Architecture,C (design/architecture),Tudor Revival,1925-1949,B,"Building  ",Unknown,Historic Resources of Angelina County,46,64000827,True,True,True
55,46,"Perry, C. W. Archie-Hallmark House ",,3,2000000000000055,,,,Angelina,302 S. Bynum,Lufkin,12/22/1988 00:00:00,88002764,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002764,Architecture,C (design/architecture),Tudor Revival,1925-1949,B,"Building  ",Unknown,Historic Resources of Angelina County,46,64000827,True,True,True
56,46,"Pines Theatre ",,3,2000000000000056,,,,Angelina,"113 First St., South",Lufkin,12/22/1988 00:00:00,88002767,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002767,Architecture,C (design/architecture),Moderne,1925-1949,B,"Building  ","Berry,W.P.",Historic Resources of Angelina County,46,64000827,True,True,True
57,46,"Rastus-Read House ",,3,2000000000000057,,,,Angelina,"1509 First St., South",Lufkin,12/22/1988 00:00:00,88002768,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002768,Architecture,C (design/architecture),Bungalow/Craftsman,1925-1949,B,"Building  ","Berry,Jack",Historic Resources of Angelina County,46,64000827,True,True,True
58,46,"Russell-Arnold House ",,3,2000000000000058,,,,Angelina,"121 Menefee St., West",Lufkin,12/22/1988 00:00:00,88002788,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002788,Architecture,C (design/architecture),Bungalow/Craftsman,1900-1924,B,"Building  ",Unknown,Historic Resources of Angelina County,46,64000827,True,True,True
59,46,"Standley House ",,3,2000000000000059,,,,Angelina,1607 Tulane,Lufkin,12/22/1988 00:00:00,88002800,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002800,Architecture,C (design/architecture),Bungalow/Craftsman,"1900-1924, 1925-1949",B,"Building  ","Standley,E.O.",Historic Resources of Angelina County,46,64000827,True,True,True
60,46,"Temple, Henry G., House ",,3,2000000000000060,,,,Angelina,501 Hines Rd.,Diboll,12/22/1988 00:00:00,88002802,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002802,Architecture,C (design/architecture),Classical Revival,1925-1949,B,"Building  ","Bodet,Ed",Historic Resources of Angelina County,46,64000827,True,True,True
61,46,"Texas Highway Department Complex ",,3,2000000000000061,,,,Angelina,110 Forest Park,Lufkin,12/22/1988 00:00:00,88002769,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,False,True,False,2088002769,Architecture,C (design/architecture),Other,1925-1949,B,"Building  ","Manning,E.V.; Burcher,Harry",Historic Resources of Angelina County,46,64000827,True,True,False
62,46,"Trout, Walter C.-White House ",,3,2000000000000062,,,,Angelina,444 Jefferson,Lufkin,12/22/1988 00:00:00,88002777,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002777,Architecture,C (design/architecture),Bungalow/Craftsman,1900-1924,B,"Building  ",Unknown,Historic Resources of Angelina County,46,64000827,True,False,True
63,46,"Walker, Howard, House ",,3,2000000000000063,,,,Angelina,503 Harmony Hill Rd.,Lufkin,12/22/1988 00:00:00,88002774,Historic Resources of Angelina County,01/30/1988 00:00:00,False,1,Listed,,,10/31/1988 00:00:00,,True,False,False,2088002774,Architecture,C (design/architecture),Bungalow/Craftsman,1925-1949,B,"Building  ","Walker,Howard",Historic Resources of Angelina County,46,64000827,True,True,False
64,,Aransas Pass Light Station,,4,2000000000000064,,,,Aransas,N of Port Aransas on Harbor Island,Port Aransas,08/03/1977 00:00:00,77001423,,01/25/1977 00:00:00,False,1,Listed,,,02/15/1977 00:00:00,,False,True,False,2077001423,"Commerce, Engineering, Transportation","A (historic events), C (design/architecture)",None Listed,"1950-1974, 1900-1924, 1875-1899, 1850-1874, 1925-1949",D,"District  ",U.S. Lighthouse Board,,,,True,True,False
65,,"Fulton, George W., Mansion",41AS79,4,2000000000000065,,,,Aransas,Fulton Beach Rd.,Fulton,04/24/1975 00:00:00,75001945,,03/06/1975 00:00:00,False,1,Listed,,,03/28/1975 00:00:00,,False,True,False,2075001945,"Community Planning and Develpment, Architecture, Invention","C (design/architecture), B (significant persons)",Second Empire,"1875-1899, 1850-1874",B,"Building  ",,,,,True,False,True
66,,Hoopes-Smith House,,4,2000000000000066,,,,Aransas,417 N. Broadway,Rockport,08/19/1994 00:00:00,94001016,,06/18/1994 00:00:00,False,1,Listed,,"Revised boundaries submitted to NPS 1/25/98, approved 2/26/98",07/18/1994 00:00:00,,True,False,False,2094001016,Architecture,C (design/architecture),Queen Anne,"1925-1949, 1900-1924, 1875-1899",B,"Building  ","Hopkins, D. S.",,,,True,True,True
67,,Kent-Crane Shell Midden,41AS3,4,2000000000000067,,,,Aransas,Address Restricted,Fulton,06/21/1984 00:00:00,84001565,,05/12/1984 00:00:00,False,1,Listed,,,05/18/1984 00:00:00,,False,True,False,2084001565,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,,,,True,True,False
68,,"Mathis, T. H., House",,4,2000000000000068,,,,Aransas,612 Church St.,Rockport,06/21/1971 00:00:00,71000918,,,False,1,Listed,,To SBR in 1970,02/23/1971 00:00:00,,True,False,False,2071000918,"Commerce, Architecture","C (design/architecture), B (significant persons)",Greek Revival,1850-1874,B,"Building  ",Unknown,,,,True,False,True
