NrId,DistrictId,Property_Name,Other_Name,CountyId,AtlasIndex,Keywords,Longitude,Latitude,County,Address,City,Date_Listed,Reference_Number,Multiple_Property_Name,Date_To_SBR,Vicinity,Status,StatusL,Date_Removed,Notes,Date_To_Nps,Date_Notified,Local_Sig,State_Sig,National_Sig,Atlas_Number,Significance,Criteria,Style,Period,Resource_type,ResourceL,Architect,District,MpsId,NpsId,HasFiles,HasImages,HasMapLocation
1624,10,"Western Union Building ",,109,2000000000001624,,,,Hill,107 S. Covington St.,Hillsboro,03/30/1984 00:00:00,84001896,"Historic Resources of Hillsboro ",,False,1,Listed,,,02/08/1984 00:00:00,,True,False,False,2084001896,"Architecture, Communications","A (historic events), C (design/architecture)","Other, Romanesque","1950-1974, 1900-1924, 1925-1949",B,"Building  ",Unknown,"Historic Resources of Hillsboro ",10,64000846,True,True,True
1625,,Hood County Courthouse Historic District,,111,2000000000001625,,,,Hood,"Courthouse Sq., bounded by Bridge, Pearl, and Houston Sts.",Granbury,06/05/1974 00:00:00,74002080,,,False,1,Listed,,,,,False,True,False,2074002080,"Commerce, Architecture, Performing Arts","A (historic events), C (design/architecture)","Late Victorian, Second Empire",1875-1899,D,"District  ","DODSON,W.C.",,,,True,True,False
1626,,Wright-Henderson-Duncan House,,111,2000000000001626,,,,Hood,703 Spring St.,Granbury,12/19/1978 00:00:00,78002956,,,False,1,Listed,,,,,True,False,False,2078002956,Architecture,C (design/architecture),Other,"1875-1899, 1850-1874",B,"Building  ","Trawick,William",,,,True,True,True
1627,,Hopkins County Courthouse,,112,2000000000001627,,,,Hopkins,Church and Jefferson Sts.,Sulphur Springs,04/11/1977 00:00:00,77001453,,,False,1,Listed,,,,,False,True,False,2077001453,Architecture,C (design/architecture),Romanesque,1875-1899,B,"Building  ","Gordon,J.Riely",,,,True,False,True
1628,,Downes-Aldrich House,,113,2000000000001628,,,,Houston,206 N. 7th St.,Crockett,04/19/1978 00:00:00,78002957,,,False,1,Listed,,,,,True,False,False,2078002957,"Politics/Government, Architecture","C (design/architecture), B (significant persons)",Queen Anne,"1900-1924, 1875-1899, 1925-1949",B,"Building  ",unknown,,,,True,True,True
1629,,"Mary Allen Seminary for Colored Girls, Administration Building",,113,2000000000001629,,,,Houston,803 N. 4th St.,Crockett,05/12/1983 00:00:00,83004514,,,False,1,Listed,,,04/08/1983 00:00:00,,False,True,False,2083004514,"Education, Architecture","A (historic events), C (design/architecture)",Second Empire,"1900-1924, 1875-1899, 1925-1949",B,"Building  ",,,,,True,True,False
1630,,Monroe-Crook House,,113,2000000000001630,,,,Houston,707 E. Houston St.,Crockett,03/31/1971 00:00:00,71000940,,,False,1,Listed,,,,,True,False,False,2071000940,Architecture,C (design/architecture),Greek Revival,1850-1874,B,"Building  ",unknown,,,,True,True,True
1631,,Westerman Mound,,113,2000000000001631,,,,Houston,Address Restricted,Kennard,06/21/1971 00:00:00,71000941,,,False,1,Listed,,,,,False,True,False,2071000941,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,,,,True,False,False
1632,,Potton-Hayden House,,114,2000000000001632,,,,Howard,SW corner Gregg and 2nd Sts.,Big Spring,04/14/1975 00:00:00,75001992,,,False,1,Listed,,,,,True,False,False,2075001992,Architecture,C (design/architecture),Queen Anne,1900-1924,B,"Building  ",unknown,,,,True,True,True
1633,,Alamo Canyon-Wilkey Ranch Discontiguous Archeological District,,115,2000000000001633,,,,Hudspeth,Address Restricted,Fort Hancock,10/28/1988 00:00:00,88002151,,,False,1,Listed,,,,,False,True,False,2088002151,"Archeology - Prehistoric, Art, Religion","C (design/architecture), D (information potential/archeology",,,D,"District  ",,,,,True,False,False
1634,25,"Archeological Site No. 41HZ1 ",,115,2000000000001634,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002015,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002015,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1635,25,"Archeological Site No. 41HZ181 ",,115,2000000000001635,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002017,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002017,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1636,25,"Archeological Site No. 41HZ182 ",,115,2000000000001636,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002018,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002018,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1637,25,"Archeological Site No. 41HZ183 ",,115,2000000000001637,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002019,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002019,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1638,25,"Archeological Site No. 41HZ184 ",,115,2000000000001638,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002020,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002020,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1639,25,"Archeological Site No. 41HZ190 ",,115,2000000000001639,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002021,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002021,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1640,25,"Archeological Site No. 41HZ200 ",,115,2000000000001640,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002022,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002022,"Archeology - Prehistoric, Archeology - Historic Non-Aboriginal",D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1641,25,"Archeological Site No. 41HZ220 ",,115,2000000000001641,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002023,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002023,Archeology - Historic Non-Aboriginal,D (information potential/archeology,,"1900-1924, 1875-1899, 1925-1949",S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
